dataset,algorithm,base_algorithm,ls_mode,runs,all_feasible,best_cost,mean_cost,median_cost,std_cost,best_gap_percent,mean_gap_percent,median_gap_percent,std_gap_percent,worst_gap_percent,mean_runtime_sec,std_runtime_sec,median_runtime_sec,mean_time_to_best_sec,std_time_to_best_sec,mean_iter_to_best,median_iter_to_best,mean_eval_to_best,max_capacity_violation_count,max_vehicle_violation_count,max_missing_count,max_duplicate_count
A-n32-k5,WOA,SSA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n32-k5,WOA,SSA,none,0,,,,,,,,,,,,,,,,,,,,,,
A-n32-k5,WOA,WOA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n32-k5,WOA,WOA,none,30,True,1054.0,1369.3,1368.0,119.66970348018116,34.43877551020408,74.65561224489797,74.48979591836735,15.263992790839433,99.74489795918367,0.18763380999999996,0.003373351591656404,0.18690769999999973,0.05583925999999998,0.022076468490642764,56.63333333333333,55.5,2245.5333333333333,0.0,0.0,0.0,0.0
A-n32-k5,SSA,SSA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n32-k5,SSA,SSA,none,30,True,1398.0,1531.1666666666667,1531.5,69.88714219137998,78.31632653061224,95.30187074829931,95.34438775510205,8.914176299920907,115.68877551020408,0.18130562666666666,0.0057216475476869625,0.18019355000000026,0.10654060999999995,0.01354612205269272,112.33333333333333,114.0,4457.2,0.0,0.0,0.0,0.0
A-n32-k5,SSA,WOA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n32-k5,SSA,WOA,none,0,,,,,,,,,,,,,,,,,,,,,,
A-n32-k5,M-WOA,SSA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n32-k5,M-WOA,SSA,none,0,,,,,,,,,,,,,,,,,,,,,,
A-n32-k5,M-WOA,WOA,2opt_qualitybalanced_relocate,30,True,784.0,807.4,787.5,34.83517841453394,0.0,2.984693877551021,0.4464285714285714,4.443262552874231,21.81122448979592,4.74279016333333,0.9799581313581676,4.659933649999994,1.1636816766666653,0.9083330310424663,50.86666666666667,45.5,2014.1,0.0,0.0,0.0,0.0
A-n32-k5,M-WOA,WOA,none,0,,,,,,,,,,,,,,,,,,,,,,
