dataset,algorithm,run,seed,iteration,best_score_with_penalty
A-n32-k5,WOA,1,2027,1,1782.0
A-n32-k5,WOA,1,2027,2,1782.0
A-n32-k5,WOA,1,2027,3,1778.0
A-n32-k5,WOA,1,2027,4,1680.0
A-n32-k5,WOA,1,2027,5,1579.0
A-n32-k5,WOA,1,2027,6,1547.0
A-n32-k5,WOA,1,2027,7,1547.0
A-n32-k5,WOA,1,2027,8,1547.0
A-n32-k5,WOA,1,2027,9,1547.0
A-n32-k5,WOA,1,2027,10,1547.0
A-n32-k5,WOA,1,2027,11,1547.0
A-n32-k5,WOA,1,2027,12,1547.0
A-n32-k5,WOA,1,2027,13,1542.0
A-n32-k5,WOA,1,2027,14,1542.0
A-n32-k5,WOA,1,2027,15,1539.0
A-n32-k5,WOA,1,2027,16,1464.0
A-n32-k5,WOA,1,2027,17,1449.0
A-n32-k5,WOA,1,2027,18,1449.0
A-n32-k5,WOA,1,2027,19,1444.0
A-n32-k5,WOA,1,2027,20,1428.0
A-n32-k5,WOA,1,2027,21,1411.0
A-n32-k5,WOA,1,2027,22,1411.0
A-n32-k5,WOA,1,2027,23,1410.0
A-n32-k5,WOA,1,2027,24,1410.0
A-n32-k5,WOA,1,2027,25,1410.0
A-n32-k5,WOA,1,2027,26,1410.0
A-n32-k5,WOA,1,2027,27,1410.0
A-n32-k5,WOA,1,2027,28,1410.0
A-n32-k5,WOA,1,2027,29,1410.0
A-n32-k5,WOA,1,2027,30,1410.0
A-n32-k5,WOA,1,2027,31,1410.0
A-n32-k5,WOA,1,2027,32,1410.0
A-n32-k5,WOA,1,2027,33,1410.0
A-n32-k5,WOA,1,2027,34,1410.0
A-n32-k5,WOA,1,2027,35,1410.0
A-n32-k5,WOA,1,2027,36,1410.0
A-n32-k5,WOA,1,2027,37,1410.0
A-n32-k5,WOA,1,2027,38,1410.0
A-n32-k5,WOA,1,2027,39,1410.0
A-n32-k5,WOA,1,2027,40,1410.0
A-n32-k5,WOA,1,2027,41,1410.0
A-n32-k5,WOA,1,2027,42,1410.0
A-n32-k5,WOA,1,2027,43,1410.0
A-n32-k5,WOA,1,2027,44,1410.0
A-n32-k5,WOA,1,2027,45,1410.0
A-n32-k5,WOA,1,2027,46,1410.0
A-n32-k5,WOA,1,2027,47,1410.0
A-n32-k5,WOA,1,2027,48,1410.0
A-n32-k5,WOA,1,2027,49,1410.0
A-n32-k5,WOA,1,2027,50,1410.0
A-n32-k5,WOA,1,2027,51,1410.0
A-n32-k5,WOA,1,2027,52,1410.0
A-n32-k5,WOA,1,2027,53,1410.0
A-n32-k5,WOA,1,2027,54,1410.0
A-n32-k5,WOA,1,2027,55,1405.0
A-n32-k5,WOA,1,2027,56,1405.0
A-n32-k5,WOA,1,2027,57,1405.0
A-n32-k5,WOA,1,2027,58,1405.0
A-n32-k5,WOA,1,2027,59,1405.0
A-n32-k5,WOA,1,2027,60,1405.0
A-n32-k5,WOA,1,2027,61,1405.0
A-n32-k5,WOA,1,2027,62,1405.0
A-n32-k5,WOA,1,2027,63,1405.0
A-n32-k5,WOA,1,2027,64,1405.0
A-n32-k5,WOA,1,2027,65,1405.0
A-n32-k5,WOA,1,2027,66,1405.0
A-n32-k5,WOA,1,2027,67,1405.0
A-n32-k5,WOA,1,2027,68,1405.0
A-n32-k5,WOA,1,2027,69,1405.0
A-n32-k5,WOA,1,2027,70,1405.0
A-n32-k5,WOA,1,2027,71,1405.0
A-n32-k5,WOA,1,2027,72,1405.0
A-n32-k5,WOA,1,2027,73,1405.0
A-n32-k5,WOA,1,2027,74,1405.0
A-n32-k5,WOA,1,2027,75,1405.0
A-n32-k5,WOA,1,2027,76,1405.0
A-n32-k5,WOA,1,2027,77,1405.0
A-n32-k5,WOA,1,2027,78,1405.0
A-n32-k5,WOA,1,2027,79,1405.0
A-n32-k5,WOA,1,2027,80,1405.0
A-n32-k5,WOA,1,2027,81,1405.0
A-n32-k5,WOA,1,2027,82,1405.0
A-n32-k5,WOA,1,2027,83,1405.0
A-n32-k5,WOA,1,2027,84,1405.0
A-n32-k5,WOA,1,2027,85,1405.0
A-n32-k5,WOA,1,2027,86,1405.0
A-n32-k5,WOA,1,2027,87,1405.0
A-n32-k5,WOA,1,2027,88,1405.0
A-n32-k5,WOA,1,2027,89,1405.0
A-n32-k5,WOA,1,2027,90,1405.0
A-n32-k5,WOA,1,2027,91,1405.0
A-n32-k5,WOA,1,2027,92,1405.0
A-n32-k5,WOA,1,2027,93,1405.0
A-n32-k5,WOA,1,2027,94,1405.0
A-n32-k5,WOA,1,2027,95,1405.0
A-n32-k5,WOA,1,2027,96,1405.0
A-n32-k5,WOA,1,2027,97,1405.0
A-n32-k5,WOA,1,2027,98,1405.0
A-n32-k5,WOA,1,2027,99,1405.0
A-n32-k5,WOA,1,2027,100,1405.0
A-n32-k5,WOA,1,2027,101,1405.0
A-n32-k5,WOA,1,2027,102,1405.0
A-n32-k5,WOA,1,2027,103,1405.0
A-n32-k5,WOA,1,2027,104,1405.0
A-n32-k5,WOA,1,2027,105,1405.0
A-n32-k5,WOA,1,2027,106,1405.0
A-n32-k5,WOA,1,2027,107,1405.0
A-n32-k5,WOA,1,2027,108,1405.0
A-n32-k5,WOA,1,2027,109,1405.0
A-n32-k5,WOA,1,2027,110,1405.0
A-n32-k5,WOA,1,2027,111,1405.0
A-n32-k5,WOA,1,2027,112,1405.0
A-n32-k5,WOA,1,2027,113,1405.0
A-n32-k5,WOA,1,2027,114,1405.0
A-n32-k5,WOA,1,2027,115,1405.0
A-n32-k5,WOA,1,2027,116,1405.0
A-n32-k5,WOA,1,2027,117,1405.0
A-n32-k5,WOA,1,2027,118,1405.0
A-n32-k5,WOA,1,2027,119,1405.0
A-n32-k5,WOA,1,2027,120,1405.0
A-n32-k5,WOA,1,2027,121,1405.0
A-n32-k5,WOA,1,2027,122,1405.0
A-n32-k5,WOA,1,2027,123,1405.0
A-n32-k5,WOA,1,2027,124,1405.0
A-n32-k5,WOA,1,2027,125,1405.0
A-n32-k5,WOA,1,2027,126,1405.0
A-n32-k5,WOA,1,2027,127,1405.0
A-n32-k5,WOA,1,2027,128,1405.0
A-n32-k5,WOA,1,2027,129,1405.0
A-n32-k5,WOA,1,2027,130,1405.0
A-n32-k5,WOA,1,2027,131,1405.0
A-n32-k5,WOA,1,2027,132,1405.0
A-n32-k5,WOA,1,2027,133,1405.0
A-n32-k5,WOA,1,2027,134,1405.0
A-n32-k5,WOA,1,2027,135,1405.0
A-n32-k5,WOA,1,2027,136,1405.0
A-n32-k5,WOA,1,2027,137,1405.0
A-n32-k5,WOA,1,2027,138,1405.0
A-n32-k5,WOA,1,2027,139,1405.0
A-n32-k5,WOA,1,2027,140,1405.0
A-n32-k5,WOA,1,2027,141,1405.0
A-n32-k5,WOA,1,2027,142,1405.0
A-n32-k5,WOA,1,2027,143,1405.0
A-n32-k5,WOA,1,2027,144,1405.0
A-n32-k5,WOA,1,2027,145,1405.0
A-n32-k5,WOA,1,2027,146,1405.0
A-n32-k5,WOA,1,2027,147,1405.0
A-n32-k5,WOA,1,2027,148,1405.0
A-n32-k5,WOA,1,2027,149,1405.0
A-n32-k5,WOA,1,2027,150,1405.0
A-n32-k5,WOA,1,2027,151,1405.0
A-n32-k5,WOA,1,2027,152,1405.0
A-n32-k5,WOA,1,2027,153,1405.0
A-n32-k5,WOA,1,2027,154,1405.0
A-n32-k5,WOA,1,2027,155,1405.0
A-n32-k5,WOA,1,2027,156,1405.0
A-n32-k5,WOA,1,2027,157,1405.0
A-n32-k5,WOA,1,2027,158,1405.0
A-n32-k5,WOA,1,2027,159,1405.0
A-n32-k5,WOA,1,2027,160,1405.0
A-n32-k5,WOA,1,2027,161,1405.0
A-n32-k5,WOA,1,2027,162,1405.0
A-n32-k5,WOA,1,2027,163,1405.0
A-n32-k5,WOA,1,2027,164,1405.0
A-n32-k5,WOA,1,2027,165,1405.0
A-n32-k5,WOA,1,2027,166,1405.0
A-n32-k5,WOA,1,2027,167,1405.0
A-n32-k5,WOA,1,2027,168,1405.0
A-n32-k5,WOA,1,2027,169,1405.0
A-n32-k5,WOA,1,2027,170,1405.0
A-n32-k5,WOA,1,2027,171,1405.0
A-n32-k5,WOA,1,2027,172,1405.0
A-n32-k5,WOA,1,2027,173,1405.0
A-n32-k5,WOA,1,2027,174,1405.0
A-n32-k5,WOA,1,2027,175,1405.0
A-n32-k5,WOA,1,2027,176,1405.0
A-n32-k5,WOA,1,2027,177,1405.0
A-n32-k5,WOA,1,2027,178,1405.0
A-n32-k5,WOA,1,2027,179,1405.0
A-n32-k5,WOA,1,2027,180,1405.0
A-n32-k5,WOA,1,2027,181,1405.0
A-n32-k5,WOA,1,2027,182,1405.0
A-n32-k5,WOA,1,2027,183,1405.0
A-n32-k5,WOA,1,2027,184,1405.0
A-n32-k5,WOA,1,2027,185,1405.0
A-n32-k5,WOA,1,2027,186,1405.0
A-n32-k5,WOA,1,2027,187,1405.0
A-n32-k5,WOA,1,2027,188,1405.0
A-n32-k5,WOA,1,2027,189,1405.0
A-n32-k5,WOA,1,2027,190,1405.0
A-n32-k5,WOA,1,2027,191,1405.0
A-n32-k5,WOA,1,2027,192,1405.0
A-n32-k5,WOA,1,2027,193,1405.0
A-n32-k5,WOA,1,2027,194,1405.0
A-n32-k5,WOA,1,2027,195,1405.0
A-n32-k5,WOA,1,2027,196,1405.0
A-n32-k5,WOA,1,2027,197,1405.0
A-n32-k5,WOA,1,2027,198,1405.0
A-n32-k5,WOA,1,2027,199,1405.0
A-n32-k5,WOA,1,2027,200,1405.0
A-n32-k5,WOA,2,2028,1,1787.0
A-n32-k5,WOA,2,2028,2,1777.0
A-n32-k5,WOA,2,2028,3,1741.0
A-n32-k5,WOA,2,2028,4,1741.0
A-n32-k5,WOA,2,2028,5,1707.0
A-n32-k5,WOA,2,2028,6,1579.0
A-n32-k5,WOA,2,2028,7,1520.0
A-n32-k5,WOA,2,2028,8,1520.0
A-n32-k5,WOA,2,2028,9,1449.0
A-n32-k5,WOA,2,2028,10,1449.0
A-n32-k5,WOA,2,2028,11,1449.0
A-n32-k5,WOA,2,2028,12,1449.0
A-n32-k5,WOA,2,2028,13,1449.0
A-n32-k5,WOA,2,2028,14,1409.0
A-n32-k5,WOA,2,2028,15,1407.0
A-n32-k5,WOA,2,2028,16,1402.0
A-n32-k5,WOA,2,2028,17,1396.0
A-n32-k5,WOA,2,2028,18,1396.0
A-n32-k5,WOA,2,2028,19,1396.0
A-n32-k5,WOA,2,2028,20,1396.0
A-n32-k5,WOA,2,2028,21,1396.0
A-n32-k5,WOA,2,2028,22,1396.0
A-n32-k5,WOA,2,2028,23,1396.0
A-n32-k5,WOA,2,2028,24,1396.0
A-n32-k5,WOA,2,2028,25,1396.0
A-n32-k5,WOA,2,2028,26,1383.0
A-n32-k5,WOA,2,2028,27,1383.0
A-n32-k5,WOA,2,2028,28,1383.0
A-n32-k5,WOA,2,2028,29,1383.0
A-n32-k5,WOA,2,2028,30,1383.0
A-n32-k5,WOA,2,2028,31,1383.0
A-n32-k5,WOA,2,2028,32,1383.0
A-n32-k5,WOA,2,2028,33,1383.0
A-n32-k5,WOA,2,2028,34,1383.0
A-n32-k5,WOA,2,2028,35,1383.0
A-n32-k5,WOA,2,2028,36,1383.0
A-n32-k5,WOA,2,2028,37,1383.0
A-n32-k5,WOA,2,2028,38,1383.0
A-n32-k5,WOA,2,2028,39,1383.0
A-n32-k5,WOA,2,2028,40,1383.0
A-n32-k5,WOA,2,2028,41,1383.0
A-n32-k5,WOA,2,2028,42,1383.0
A-n32-k5,WOA,2,2028,43,1383.0
A-n32-k5,WOA,2,2028,44,1383.0
A-n32-k5,WOA,2,2028,45,1383.0
A-n32-k5,WOA,2,2028,46,1383.0
A-n32-k5,WOA,2,2028,47,1383.0
A-n32-k5,WOA,2,2028,48,1383.0
A-n32-k5,WOA,2,2028,49,1383.0
A-n32-k5,WOA,2,2028,50,1383.0
A-n32-k5,WOA,2,2028,51,1383.0
A-n32-k5,WOA,2,2028,52,1383.0
A-n32-k5,WOA,2,2028,53,1383.0
A-n32-k5,WOA,2,2028,54,1383.0
A-n32-k5,WOA,2,2028,55,1383.0
A-n32-k5,WOA,2,2028,56,1383.0
A-n32-k5,WOA,2,2028,57,1383.0
A-n32-k5,WOA,2,2028,58,1383.0
A-n32-k5,WOA,2,2028,59,1383.0
A-n32-k5,WOA,2,2028,60,1383.0
A-n32-k5,WOA,2,2028,61,1383.0
A-n32-k5,WOA,2,2028,62,1383.0
A-n32-k5,WOA,2,2028,63,1383.0
