dataset,algorithm,base_algorithm,ls_mode,run,seed,pop_size,max_iter,known_best,best_score_with_penalty,cost_without_vehicle_penalty,gap_percent_without_vehicle_penalty,gap_percent_with_penalty,route_count,expected_vehicles,max_route_load,capacity,valid_core_solution,vehicle_count_valid,feasible_solution,vehicle_violation_count,missing_count,extra_count,duplicate_count,capacity_violation_count,runtime_sec,time_to_best_sec,iter_to_best,eval_to_best,profile_initialization_time,profile_decode_time,profile_split_time,profile_vehicle_repair_time,profile_two_opt_time,profile_relocate_time,profile_local_search_total_time,profile_cost_evaluation_time,profile_lamarckian_writeback_time,profile_position_update_time,profile_evaluation_total_time,profile_route_distance_calls,profile_evaluations,profile_other_time
A-n32-k5,WOA,WOA,none,1,2027,40,200,784.0,1405.0,1405.0,79.20918367346938,79.20918367346938,5,5,98,100,True,True,True,0,0,0,0,0,0.2013409,0.058860100000000026,55,2199,0.002258299999999991,0.03153229999999729,0.02635800000000249,0.006462299999998755,0.0,0.0,0.013144699999997789,0.016904599999995495,0.05392150000000023,0.04528650000000062,0.14856120000000178,40005,8000,0.018617400000005113
A-n32-k5,WOA,WOA,none,2,2028,40,200,784.0,1383.0,1383.0,76.40306122448979,76.40306122448979,5,5,97,100,True,True,True,0,0,0,0,0,0.20620510000000003,0.02968320000000002,26,1011,0.002355499999999955,0.03254500000000671,0.026701500000001266,0.0062190999999979235,0.0,0.0,0.013411199999995405,0.017358800000002894,0.0550233999999985,0.04666400000000026,0.1519244000000034,40005,8000,0.019337799999992522
A-n32-k5,WOA,WOA,none,3,2029,40,200,784.0,1202.0,1202.0,53.316326530612244,53.316326530612244,5,5,98,100,True,True,True,0,0,0,0,0,0.20931829999999996,0.04120519999999994,34,1334,0.0020499999999999963,0.03305219999999487,0.027752000000003663,0.006420000000003978,0.0,0.0,0.013364900000001456,0.017827900000002117,0.0551727999999988,0.04710989999999937,0.15439449999999766,40005,8000,0.019933499999997162
A-n32-k5,SSA,SSA,none,1,3027,40,200,784.0,1502.0,1502.0,91.58163265306122,91.58163265306122,5,5,96,100,True,True,True,0,0,0,0,0,0.19093059999999995,0.11154639999999993,113,4481,0.0021356999999999626,0.03145069999999328,0.026382500000001974,0.006057200000006091,0.0,0.0,0.01273570000001234,0.02452279999999285,0.05325850000000654,0.028460699999999894,0.15504130000000682,40005,8000,0.01866249999999936
A-n32-k5,SSA,SSA,none,2,3028,40,200,784.0,1545.0,1545.0,97.06632653061224,97.06632653061224,5,5,100,100,True,True,True,0,0,0,0,0,0.20017639999999992,0.11989340000000004,113,4484,0.0021307999999999883,0.03324260000000079,0.028452600000004047,0.006487600000006477,0.0,0.0,0.013664100000002621,0.02382019999999252,0.056254200000007026,0.029964399999998337,0.16232900000001038,40005,8000,0.019823999999990738
A-n32-k5,SSA,SSA,none,3,3029,40,200,784.0,1616.0,1616.0,106.12244897959184,106.12244897959184,5,5,100,100,True,True,True,0,0,0,0,0,0.19010569999999993,0.12844999999999995,131,5203,0.002253099999999897,0.03112320000000235,0.02611059999999532,0.006076100000004692,0.0,0.0,0.012712199999995732,0.024324099999999405,0.05328770000000427,0.02869940000000204,0.15406079999999678,40005,8000,0.018231499999991962
A-n32-k5,M-WOA,WOA,2opt_qualitybalanced_relocate,1,4027,40,200,784.0,784.0,784.0,0.0,0.0,5,5,98,100,True,True,True,0,0,0,0,0,4.7883587,0.4500814000000002,20,782,0.0019500000000001183,0.04669210000001356,0.03244630000001281,0.023901099999962483,1.1026517999999985,3.38004630000001,4.522900500000022,0.032180300000027584,0.08298240000002544,0.05033549999999809,4.725652300000022,2840550,8000,0.03517289999995121
A-n32-k5,M-WOA,WOA,2opt_qualitybalanced_relocate,2,4028,40,200,784.0,784.0,784.0,0.0,0.0,5,5,98,100,True,True,True,0,0,0,0,0,5.8556738,0.9620125999999996,38,1513,0.0019153999999996785,0.04790439999995222,0.032957599999985376,0.02529120000007179,1.133610400000011,4.402221600000022,5.577756599999948,0.034388900000037026,0.0893551000000592,0.05161429999999001,5.791018500000122,3138480,8000,0.036414899999871686
A-n32-k5,M-WOA,WOA,2opt_qualitybalanced_relocate,3,4029,40,200,784.0,830.0,830.0,5.86734693877551,5.86734693877551,5,5,99,100,True,True,True,0,0,0,0,0,5.229305499999999,2.934231500000001,99,3940,0.0021713000000005422,0.04654160000002072,0.03213210000019551,0.025398200000067206,1.0181869000000177,3.896581400000045,4.956359600000358,0.034936699999990495,0.08580220000002825,0.05230609999999558,5.164250400000022,2610095,8000,0.03524899999963793
A-n32-k5,M-SSA,SSA,2opt_qualitybalanced_relocate,1,5027,40,200,784.0,785.0,785.0,0.12755102040816327,0.12755102040816327,5,5,98,100,True,True,True,0,0,0,0,0,6.0598379000000016,1.247728500000001,50,1990,0.001939000000000135,0.04970229999987197,0.03329250000014383,0.025381899999690205,1.1886057999998663,4.555566499999895,5.786718500000088,0.04131889999982974,0.09156319999983253,0.03440629999997924,6.011492299999901,3100090,8000,0.038061500000893034
