dataset,algorithm,run,seed,stage,seconds,percent_of_runtime,runtime_sec
A-n32-k5,WOA,1,2027,Initialization,0.002258299999999991,1.1216300314541114,0.2013409
A-n32-k5,WOA,1,2027,Decode,0.03153229999999729,15.661149821023594,0.2013409
A-n32-k5,WOA,1,2027,Split,0.02635800000000249,13.09122984947544,0.2013409
A-n32-k5,WOA,1,2027,Vehicle repair,0.006462299999998755,3.209631028767009,0.2013409
A-n32-k5,WOA,1,2027,2-opt local search,0.0,0.0,0.2013409
A-n32-k5,WOA,1,2027,Relocate local search,0.0,0.0,0.2013409
A-n32-k5,WOA,1,2027,Final cost evaluation,0.016904599999995495,8.396008957939245,0.2013409
A-n32-k5,WOA,1,2027,Lamarckian write-back,0.05392150000000023,26.781195474938393,0.2013409
A-n32-k5,WOA,1,2027,Position update,0.04528650000000062,22.49244937317784,0.2013409
A-n32-k5,WOA,1,2027,Other,0.018617400000005113,9.24670546322437,0.2013409
A-n32-k5,WOA,2,2028,Initialization,0.002355499999999955,1.1423092833300217,0.20620510000000003
A-n32-k5,WOA,2,2028,Decode,0.03254500000000671,15.782829813620857,0.20620510000000003
A-n32-k5,WOA,2,2028,Split,0.026701500000001266,12.949000776412058,0.20620510000000003
A-n32-k5,WOA,2,2028,Vehicle repair,0.0062190999999979235,3.015977781343877,0.20620510000000003
A-n32-k5,WOA,2,2028,2-opt local search,0.0,0.0,0.20620510000000003
A-n32-k5,WOA,2,2028,Relocate local search,0.0,0.0,0.20620510000000003
A-n32-k5,WOA,2,2028,Final cost evaluation,0.017358800000002894,8.418220499882347,0.20620510000000003
A-n32-k5,WOA,2,2028,Lamarckian write-back,0.0550233999999985,26.683821108206583,0.20620510000000003
A-n32-k5,WOA,2,2028,Position update,0.04666400000000026,22.62989615678771,0.20620510000000003
A-n32-k5,WOA,2,2028,Other,0.019337799999992522,9.377944580416546,0.20620510000000003
A-n32-k5,WOA,3,2029,Initialization,0.0020499999999999963,0.979369696772808,0.20931829999999996
A-n32-k5,WOA,3,2029,Decode,0.03305219999999487,15.790401508131337,0.20931829999999996
A-n32-k5,WOA,3,2029,Split,0.027752000000003663,13.2582769877281,0.20931829999999996
A-n32-k5,WOA,3,2029,Vehicle repair,0.006420000000003978,3.0670992455050414,0.20931829999999996
A-n32-k5,WOA,3,2029,2-opt local search,0.0,0.0,0.20931829999999996
A-n32-k5,WOA,3,2029,Relocate local search,0.0,0.0,0.20931829999999996
A-n32-k5,WOA,3,2029,Final cost evaluation,0.017827900000002117,8.517124398584414,0.20931829999999996
A-n32-k5,WOA,3,2029,Lamarckian write-back,0.0551727999999988,26.358326051758883,0.20931829999999996
A-n32-k5,WOA,3,2029,Position update,0.04710989999999937,22.50634559902282,0.20931829999999996
A-n32-k5,WOA,3,2029,Other,0.019933499999997162,9.523056512496598,0.20931829999999996
