dataset,algorithm,base_algorithm,ls_mode,runs,all_core_valid,all_feasible,feasible_runs,best_cost,best_feasible_cost,mean_cost,std_cost,mean_gap_percent,best_gap_percent,mean_runtime_sec,mean_profile_eval_total_sec,mean_profile_local_search_total_sec,mean_profile_two_opt_sec,mean_profile_vehicle_repair_sec,mean_profile_cost_eval_sec,mean_profile_position_update_sec,mean_profile_route_distance_calls,mean_route_count,max_capacity_violation_count,max_vehicle_violation_count,max_missing_count,max_duplicate_count
A-n32-k5,M-SSA,SSA,2opt_qualitybalanced_relocate,3,True,True,3,784.0,784.0,784.3333333333334,0.577350269189634,0.04251700680272109,0.0,7.673616633333334,7.598744066666736,7.2914221333333655,1.5609336999998018,0.032071966666428864,0.05433246666670163,0.055524866666655015,3074339.6666666665,5.0,0,0,0,0
A-n32-k5,M-WOA,WOA,2opt_qualitybalanced_relocate,3,True,True,3,784.0,784.0,799.3333333333334,26.55811238272277,1.9557823129251701,0.0,5.291112666666666,5.226973733333389,5.0190055666667766,1.0848163666666757,0.024863500000033827,0.033835300000018366,0.05141863333332789,2863041.6666666665,5.0,0,0,0,0
A-n32-k5,WOA,WOA,none,3,True,True,3,1202.0,1202.0,1330.0,111.39569111954016,69.64285714285714,53.316326530612244,0.20562143333333335,0.15162670000000095,0.01330693333333155,0.0,0.006367133333333552,0.017363766666666836,0.04635346666666675,40005.0,5.0,0,0,0,0
A-n32-k5,SSA,SSA,none,3,True,True,3,1502.0,1502.0,1554.3333333333333,57.570246945217605,98.25680272108843,91.58163265306122,0.1937375666666666,0.15714370000000466,0.013037333333336898,0.0,0.00620696666667242,0.024222366666661593,0.02904150000000009,40005.0,5.0,0,0,0,0
A-n37-k6,M-WOA,WOA,2opt_qualitybalanced_relocate,3,True,True,3,966.0,966.0,981.6666666666666,18.4481254693623,3.442219880576045,1.791359325605901,7.724275166666668,7.568507799999928,7.137998699999623,1.715163033333243,0.3596241999999397,0.07818113333359851,0.13117009999998666,2661750.3333333335,6.0,0,0,0,0
A-n37-k6,M-SSA,SSA,2opt_qualitybalanced_relocate,3,True,True,3,966.0,966.0,989.0,23.515952032609693,4.214963119072709,1.791359325605901,8.26501393333333,8.151933333333398,7.6546784333331175,2.232498666666577,0.6812356666665617,0.13289993333356165,0.08685220000001455,3039980.0,6.0,0,0,0,0
A-n37-k6,WOA,WOA,none,3,True,True,3,1215.0,1215.0,1254.6666666666667,35.92121007612822,32.20934316824728,28.02950474183351,0.7084128000000002,0.5610965000000215,0.19719883333363933,0.0,0.18312506666674486,0.05654216666654577,0.12627229999999892,48007.0,6.0,0,0,0,0
A-n37-k6,SSA,SSA,none,3,True,True,3,1378.0,1378.0,1443.3333333333333,60.70694633510515,52.08991921320688,45.205479452054796,1.669174833333334,1.5535243333332975,0.945570533333516,0.0,0.928467833333284,0.1288520666667002,0.09127889999997052,48008.0,6.0,0,0,0,0
A-n45-k6,M-WOA,WOA,2opt_qualitybalanced_relocate,3,True,True,3,1037.0,1037.0,1091.6666666666667,47.38494838377833,15.642655367231638,9.851694915254237,4.726125966666667,4.640300000000025,4.340397133333984,1.6680175333334688,1.226565366666918,0.05746630000011995,0.06979873333328612,3244895.6666666665,6.0,0,0,0,0
A-n45-k6,M-SSA,SSA,2opt_qualitybalanced_relocate,3,True,True,3,1192.0,1192.0,1236.6666666666667,39.95414037785485,31.002824858757062,26.271186440677965,6.764907566666669,6.69793046666624,6.320247000000729,2.316546066666367,2.153127066666665,0.11093900000056085,0.048643000000112124,4449487.0,6.0,0,0,0,0
